学校代号,学校名称,专业代号,专业名称,计划数,分数线,位次
1103,北京大学,1,工商管理类,1,721,2
1103,北京大学,5,理科试验班类（元培）,2,721,3
1147,清华大学,2,文科试验班类（通用基础类）,2,711,35
1104,北京大学医学部,4,口腔医学,1,709,51
1147,清华大学,3,临床医学类,5,708,59
1103,北京大学,2,文科试验班类（文科基础类专业）,6,707,69
1103,北京大学,6,理科试验班类（理科基础类专业）,22,707,78
1147,清华大学,1,理科试验班类（物理基础类）,22,707,81
3131,上海交通大学,5,计算机科学与技术（ACM班，致远理科荣誉计划）,1,706,90
1189,中国科学院大学,1,人工智能,1,704,125
1104,北京大学医学部,2,临床医学,5,703,162
3131,上海交通大学,2,电子信息类（IEEE试点班，含双学士学位项目）,4,703,153
1,浙江大学,19,工科试验班（竺可桢学院图灵班）,3,702,200
1104,北京大学医学部,3,临床医学,1,702,183
1104,北京大学医学部,5,口腔医学,1,702,185
3131,上海交通大学,1,人工智能（卓越人才试点班）,4,702,178
1,浙江大学,17,人工智能（荣誉项目班）,2,701,227
1104,北京大学医学部,1,基础医学,2,701,232
3102,复旦大学,9,理科试验班（相辉学堂相辉计划）,4,701,222
3132,上海交通大学医学院,1,临床医学,3,701,238
3132,上海交通大学医学院,2,临床医学（法语班）,1,701,241
1,浙江大学,18,机器人工程（荣誉项目班）,2,700,259
1104,北京大学医学部,7,药学,2,700,257
1104,北京大学医学部,8,英语（医学英语）,2,700,277
1189,中国科学院大学,2,计算机科学与技术,3,700,284
1104,北京大学医学部,6,预防医学,1,699,311
3102,复旦大学,8,经济学类（拔尖班）,3,699,293
3132,上海交通大学医学院,3,临床医学（口腔方向）,1,699,301
3171,复旦大学医学院,1,临床医学（卓越医生计划）,4,699,329
1159,中国人民大学,18,金融学（金融学与数学双主学位项目）,1,698,335
1159,中国人民大学,19,金融学（金融学与大数据技术双主学位项目）,1,698,334
1159,中国人民大学,4,法学,5,697,424
3102,复旦大学,6,人文科学试验班（拔尖学生培养基地）,3,697,437
1,浙江大学,20,医学试验班（竺可桢学院巴德年医学班）,23,695,566
3240,南京大学,8,人工智能,5,695,593
1,浙江大学,6,社会科学试验班（竺可桢学院人文社科实验班）,5,694,639
1159,中国人民大学,2,财政学类,2,694,609
1159,中国人民大学,8,人工智能（拔尖班）,3,694,654
1,浙江大学,8,社会科学试验班（智能财务荣誉项目班）,3,692,840
1159,中国人民大学,3,新闻传播学类,5,692,835
1159,中国人民大学,9,统计学类,5,692,822
1159,中国人民大学,15,金融学类,5,692,808
1159,中国人民大学,17,计算机类（图灵实验班）,4,692,819
1159,中国人民大学,22,政治学、经济学与哲学（PPE实验班）,2,692,806
259,浙江大学医学院,1,临床医学（5+3一体化培养）,18,691,876
4055,武汉大学,25,计算机科学与技术（雷军班）,1,691,861
5120,四川大学,27,口腔医学（八年制）,2,691,902
1116,北京航空航天大学,1,计算机科学与技术（拔尖学生培养计划）,1,690,1023
3240,南京大学,7,计算机科学与技术,6,690,998
4436,中山大学,7,临床医学,2,690,963
1116,北京航空航天大学,4,工科试验班类（未来空天领军计划）,2,689,1106
4034,华中科技大学,26,临床医学（八年制）,4,689,1074
5120,四川大学,26,口腔医学（5+3一体化）,2,689,1129
1,浙江大学,7,社会科学试验班（数字法治卓越班）,4,688,1172
1,浙江大学,16,工科试验班（信息）,246,687,1273
1159,中国人民大学,1,人文科学试验班,4,687,1277
1159,中国人民大学,7,人力资源管理（经管交叉试验班，含法学与劳动治理实验班）,2,687,1355
1159,中国人民大学,13,经济学类,10,687,1306
3240,南京大学,9,理科试验班（匡亚明学院大理科班）,5,687,1348
4424,华南理工大学,6,电气工程及其自动化（卓越班）,1,687,1336
5120,四川大学,23,临床医学（八年制）,2,687,1267
1116,北京航空航天大学,8,微电子科学与工程（卓越人才培养试验班）,1,686,1507
1151,首都医科大学,1,临床医学（阶平班）,2,686,1480
1159,中国人民大学,12,社会科学试验班（管理学科类）,2,686,1526
1159,中国人民大学,14,工商管理类（数智化方向，含双学位项目）,10,686,1450
3240,南京大学,6,软件工程（国家特色化软件学院实验班）,5,686,1408
3240,南京大学,11,金融工程（计算机金融实验班）,2,686,1426
259,浙江大学医学院,2,口腔医学（5+3一体化培养）,17,685,1564
1116,北京航空航天大学,2,数学与应用数学（拔尖学生培养计划）,1,685,1542
1116,北京航空航天大学,9,人工智能（卓越人才培养试验班）,2,685,1622
1159,中国人民大学,6,国际政治,3,685,1600
2309,哈尔滨工业大学,1,工科试验班（院士特色班、未来技术拔尖班）,3,685,1613
4365,中南大学,2,临床医学（八年制）,2,685,1535
1116,北京航空航天大学,7,网络空间安全（卓越人才培养试验班）,1,684,1714
1159,中国人民大学,5,社会学类,4,684,1683
1159,中国人民大学,20,社会科学试验班（大数据技术与农林经管双主学位项目）,3,684,1722
3455,中国科学技术大学,2,工科试验班,27,684,1724
4034,华中科技大学,9,电气工程及其自动化（启明实验班）,2,684,1764
4055,武汉大学,20,临床医学,2,684,1658
1,浙江大学,10,社会科学试验班（数字公共治理荣誉项目班）,5,683,1925
1,浙江大学,11,理科试验班类（含商务大数据分析双学士学位项目）,105,683,1922
259,浙江大学医学院,4,医学试验班类,25,683,1948
1116,北京航空航天大学,3,工程力学（拔尖学生培养计划）,1,683,1889
1159,中国人民大学,21,社会科学试验班（应用经济与农村发展管理双主学位项目）,4,683,1892
1163,中国政法大学,3,法学（法学人才培养模式改革实验班）,7,683,1973
1163,中国政法大学,17,法学（北京外国语大学联合培养涉外法治人才）,3,683,1873
3165,同济大学,1,工科试验班（国豪精英班）,12,683,1966
3240,南京大学,12,技术科学试验班,13,683,1962
4055,武汉大学,21,口腔医学,2,683,1955
259,浙江大学医学院,3,临床医学（儿科方向，5+3一体化培养）,8,682,2044
3240,南京大学,2,汉语言文学,8,682,2112
3240,南京大学,5,理科试验班类（数理科学类）,7,682,2064
4055,武汉大学,22,口腔医学（5+3一体化）,2,682,2001
1127,北京理工大学,1,工科试验班（未来精工技术（北京校区、珠海校区））,4,681,2294
3165,同济大学,9,临床医学（5+3一体化）,6,681,2222
3455,中国科学技术大学,1,理科试验班类,43,681,2221
4034,华中科技大学,31,光电信息科学与工程（未来技术实验班）,2,681,2276
4055,武汉大学,19,法学,4,681,2130
4436,中山大学,8,口腔医学（5+3一体化）,2,681,2271
1143,北京中医药大学,1,中医学（领军人才培养计划）,4,680,2503
1163,中国政法大学,4,法学（涉外法治人才培养实验班）,5,680,2425
1163,中国政法大学,18,法学（纪检、监察实验班）,3,680,2454
3240,南京大学,3,社会科学试验班,5,680,2478
6127,西安交通大学,3,自动化(钱学森班),2,680,2446
1130,北京师范大学,10,数学类,4,679,2603
1143,北京中医药大学,2,中西医临床医学（华佗班）,2,679,2645
3240,南京大学,4,经济管理试验班（数智经济与管理）,6,679,2676
5113,电子科技大学,2,电子信息类（成电英才计划拔尖创新人才实验班）,3,679,2538
6127,西安交通大学,2,能源与动力工程(钱学森班),2,679,2672
6127,西安交通大学,5,人工智能（新工科卓越计划）,2,679,2704
1,浙江大学,13,工科试验班,404,678,2830
1116,北京航空航天大学,6,工科试验班类（医工交叉试验班）,3,678,2822
2309,哈尔滨工业大学,4,工科试验班（AI先进技术领军班）,6,678,2920
3240,南京大学,10,理科试验班类（化学与生命科学类）,4,678,2742
4034,华中科技大学,19,计算机类（计算机学院）,13,678,2768
4034,华中科技大学,32,机械设计制造及其自动化（未来技术实验班）,2,678,2866
4055,武汉大学,14,理科试验班（弘毅学堂）,3,678,2836
4055,武汉大学,23,网络空间安全（拔尖试验班）,2,678,2767
4431,南方医科大学,1,临床医学,4,678,2863
5120,四川大学,25,口腔医学（五年制）,3,678,2766
6127,西安交通大学,4,计算机科学与技术（国家拔尖计划）,2,678,2787
2309,哈尔滨工业大学,2,工科试验班（航天与自动化）,2,677,2943
3109,上海财经大学,1,会计学,3,677,2972
3109,上海财经大学,11,经济学（双学士学位）,1,677,2942
3206,东南大学,3,工科试验班（吴健雄班）,10,677,3029
4034,华中科技大学,14,电子信息工程（创新实验班）,2,677,3062
4055,武汉大学,18,金融学类（弘毅学堂）,3,677,2994
4055,武汉大学,34,文科试验班类（弘毅学堂）,5,677,3113
4365,中南大学,3,口腔医学（5+3一体化）,2,677,2937
4460,哈尔滨工业大学(深圳),1,工科试验班（计算机与电子通信）,28,677,3080
5113,电子科技大学,1,计算机科学与技术（国家珠峰计划拔尖人才实验班）,2,677,2955
5113,电子科技大学,3,计算机科学与技术（智能金融与区块链金融双A联合学位实验班）,2,677,2965
1116,北京航空航天大学,11,工科试验班类（信息类）,43,676,3283
1127,北京理工大学,2,工科试验班（徐特立英才班）,16,676,3230
3165,同济大学,8,医学试验班,5,676,3199
4055,武汉大学,24,临床医学（5+3一体化）,8,676,3168
5113,电子科技大学,9,计算机科学与技术（互联网交叉复合型精英人才双学位培养计划）,2,676,3154
6127,西安交通大学,6,数学与应用数学（国家拔尖计划）,3,676,3158
1116,北京航空航天大学,5,理科试验班类（中法工程师学院）,3,675,3351
1127,北京理工大学,3,工科试验班（拔尖计划）,4,675,3536
1130,北京师范大学,7,人文科学试验班,8,675,3556
3206,东南大学,10,未来机器人,5,675,3412
3731,山东大学,25,临床医学（齐鲁医学堂创新实验班）,2,675,3550
4034,华中科技大学,15,光电信息科学与工程,11,675,3399
4055,武汉大学,4,经济学（数智经济与管理试验班）,2,675,3501
6127,西安交通大学,13,自动化,6,675,3545
6127,西安交通大学,23,临床医学(侯宗濂班),2,675,3373
1,浙江大学,9,社会科学试验班（含数字金融双学士学位项目）,169,674,3668
1151,首都医科大学,2,临床医学（5+3一体化）,5,674,3778
2309,哈尔滨工业大学,3,工科试验班（计算机与电子通信）,4,674,3671
4034,华中科技大学,7,计算机类（网安学院）,8,674,3781
4055,武汉大学,30,工科试验班（智能机器人试验班）,2,674,3699
4460,哈尔滨工业大学(深圳),2,工科试验班（机器人与智能装备）,20,674,3663
6127,西安交通大学,7,工科试验班(医学电子信息优本班),2,674,3596
1,浙江大学,12,理科试验班（生命、环境、化学与地学）,138,673,3865
1163,中国政法大学,2,法学,25,673,3880
3105,华东师范大学,11,汉语言文学,3,673,4057
3109,上海财经大学,10,经济学,2,673,3979
3206,东南大学,9,集成电路设计与集成系统（后两年在无锡培养）,6,673,4048
3543,厦门大学,5,法学类,4,673,3908
4034,华中科技大学,8,电气工程及其自动化,16,673,3961
4055,武汉大学,26,计算机类（计算机学院）,20,673,3914
5113,电子科技大学,7,微电子科学与工程,2,673,4061
5120,四川大学,22,临床医学（五年制）,4,673,3931
1,浙江大学,1,人文科学试验班,76,672,4221
1,浙江大学,15,工科试验班（材料、化工与高分子）,176,672,4228
1116,北京航空航天大学,10,工科试验班类（航空和航天类）,25,672,4318
1116,北京航空航天大学,12,理科试验班类,7,672,4315
3105,华东师范大学,13,英语,2,672,4100
3165,同济大学,6,工科试验班（信息与智能网联类）,48,672,4179
4034,华中科技大学,18,电子信息类（集成电路学院）,15,672,4311
4055,武汉大学,13,计算机类（国家网络安全学院）,6,672,4205
4055,武汉大学,29,工科试验班（电气类）,3,672,4182
4055,武汉大学,35,工科试验班（碳中和试验班）,2,672,4161
5113,电子科技大学,6,计算机类,8,672,4291
6127,西安交通大学,9,工科试验班（电气类）,16,672,4094
6127,西安交通大学,21,理科试验班（数学类）,4,672,4283
1,浙江大学,3,外国语言文学类（含涉外法治双学士学位项目）,28,671,4562
1,浙江大学,23,应用生物科学（生工食品）,24,671,4484
1140,北京邮电大学,1,计算机类（元班）,3,671,4373
1151,首都医科大学,3,口腔医学（5+3一体化）,2,671,4390
1203,南开大学,11,理科试验班（数学与大数据）,6,671,4450
1239,天津医科大学,12,临床医学（5+3一体化，朱宪彝班）,1,671,4556
3105,华东师范大学,24,法学（双学位）,2,671,4627
3105,华东师范大学,30,数学与应用数学,6,671,4389
3105,华东师范大学,32,统计学（双学位）,4,671,4430
3106,华东政法大学,2,法学（卓越民商法治人才实验班）,4,671,4622
3106,华东政法大学,10,法学（卓越刑事法律人才实验班）,2,671,4600
3109,上海财经大学,2,财务管理（智能化方向）,6,671,4512
3164,上海中医药大学,1,中医学（屠呦呦班）,4,671,4507
3165,同济大学,5,工科试验班（智能化制造与新能源类）,9,671,4424
3165,同济大学,7,理科试验班,8,671,4607
3206,东南大学,5,计算机类,20,671,4587
3270,南京医科大学,3,口腔医学（5+3一体化）,2,671,4510
3543,厦门大学,10,数据科学与大数据技术,2,671,4434
4034,华中科技大学,16,自动化类,13,671,4451
4055,武汉大学,1,中国语言文学类,3,671,4568
4055,武汉大学,8,数学类,6,671,4388
4055,武汉大学,36,导航工程（智能导航试验班）,2,671,4404
4436,中山大学,4,法学,6,671,4582
6127,西安交通大学,10,工科试验班（计算机科学技术类）,14,671,4425
6127,西安交通大学,14,微电子科学与工程,8,671,4476
6127,西安交通大学,15,电子科学与技术,7,671,4521
1,浙江大学,2,新闻传播学类,51,670,4905
1130,北京师范大学,8,历史学类,2,670,4726
3105,华东师范大学,21,历史学,3,670,4735
3105,华东师范大学,33,物理学,3,670,4780
3106,华东政法大学,4,法学（卓越经济法律人才实验班）,3,670,4792
3206,东南大学,4,电子信息类,26,670,4781
3206,东南大学,11,临床医学（5+3一体化）,8,670,4793
3270,南京医科大学,1,临床医学（5+3一体化）,4,670,4814
3543,厦门大学,9,统计学类,3,670,4759
4034,华中科技大学,13,电子信息类（电信学院）,13,670,4664
4034,华中科技大学,27,临床医学,16,670,4628
4055,武汉大学,2,历史学类,2,670,4669
4055,武汉大学,31,工科试验班（智慧能源与智能制造类）,5,670,4649
6127,西安交通大学,12,信息工程,8,670,4820
6145,西北工业大学,3,航空航天类（黄玉珊航空班）,2,670,4765
6145,西北工业大学,5,航空航天类（陈士橹飞天班）,2,670,4684
9,温州医科大学,1,眼视光医学（5+3一体化）,10,669,5021
259,浙江大学医学院,6,药学类,52,669,5096
1127,北京理工大学,4,工科试验班（信息科学技术）,33,669,5000
1239,天津医科大学,3,口腔医学（5+3一体化）,1,669,5130
3105,华东师范大学,23,法学,2,669,5157
3105,华东师范大学,39,数据科学与大数据技术,4,669,4985
3109,上海财经大学,3,会计学（ACCA）,5,669,5156
3109,上海财经大学,22,数学与应用数学（双学士学位）,2,669,5060
3165,同济大学,15,人文科学试验班,7,669,5160
3543,厦门大学,11,会计学（含会计、财务、审计）,8,669,5127
4034,华中科技大学,1,数学类,5,669,4920
4055,武汉大学,5,经济学类,9,669,5052
4055,武汉大学,16,生物科学（精英班）,2,669,5115
4055,武汉大学,33,遥感科学与技术,8,669,4978
4436,中山大学,1,汉语言文学,4,669,5187
5113,电子科技大学,4,电子信息类（信息与通信）,10,669,5122
5113,电子科技大学,8,集成电路设计与集成系统,5,669,5033
5113,电子科技大学,12,电子信息类（智能仪器、智能控制）,5,669,5107
5150,电子科技大学(沙河校区),5,软件工程（互联网交叉培养实验班）,2,669,5025
6127,西安交通大学,11,软件工程,10,669,4961
6127,西安交通大学,22,理科试验班（物理类）,3,669,5140
6145,西北工业大学,16,计算机科学与技术（计算机科学拔尖基地班）,2,669,4940
9001,海军军医大学,11,临床医学（高级临床医师）,5,669,5166
1127,北京理工大学,5,工科试验班（电子信息实验班）,28,668,5434
1130,北京师范大学,1,思想政治教育,2,668,5354
1130,北京师范大学,9,社会科学试验班,9,668,5453
1140,北京邮电大学,2,电子信息类（元班）,4,668,5326
1203,南开大学,4,法学,7,668,5318
1203,南开大学,13,工科试验班（信息科学与技术）,8,668,5443
2220,吉林大学,8,法学（涉外法治人才试验班）,1,668,5421
3105,华东师范大学,27,金融学（双学位）,3,668,5497
3105,华东师范大学,28,新闻学（双学位）,1,668,5487
3105,华东师范大学,34,电子信息科学与技术,2,668,5353
3105,华东师范大学,40,化学,2,668,5392
3106,华东政法大学,6,法学（沪港交流涉外卓越法律人才实验班）,4,668,5438
3109,上海财经大学,4,金融学,10,668,5201
3109,上海财经大学,12,财政学类,3,668,5454
3109,上海财经大学,24,法学（双学士学位、法学和金融学）,3,668,5494
3165,同济大学,3,工科试验班（城市、建筑与创意设计类）,9,668,5352
3165,同济大学,17,会计学,3,668,5208
3281,苏州大学,8,临床医学（5+3一体化）,2,668,5351
3543,厦门大学,1,人文科学试验班,4,668,5273
3543,厦门大学,2,新闻传播学类,2,668,5472
3731,山东大学,27,口腔医学,2,668,5226
4034,华中科技大学,4,机械类,14,668,5469
4034,华中科技大学,11,生物医学工程类,6,668,5464
4034,华中科技大学,17,航空航天类,5,668,5320
4034,华中科技大学,28,口腔医学,3,668,5426
4055,武汉大学,3,外国语言文学类,3,668,5476
4055,武汉大学,9,物理学类,6,668,5288
4055,武汉大学,15,哲学类,2,668,5415
4055,武汉大学,17,新闻传播学类（含卓越新闻传播人才教育培养计划）,2,668,5221
4055,武汉大学,32,电子信息类,24,668,5212
4424,华南理工大学,16,计算机类,2,668,5361
4436,中山大学,13,临床医学,15,668,5334
5113,电子科技大学,5,工科试验班（电子工程类）,9,668,5482
6127,西安交通大学,18,工科试验班（航天航空类）,6,668,5280
1130,北京师范大学,13,教育学类,3,667,5760
1140,北京邮电大学,5,计算机类,6,667,5632
1203,南开大学,6,金融学类,5,667,5538
1203,南开大学,9,中国语言文学类,7,667,5739
1210,天津大学,9,工科试验班（未来技术学院）,6,667,5563
2161,中国医科大学,3,临床医学,1,667,5756
2220,吉林大学,9,法学,3,667,5745
3105,华东师范大学,14,翻译（双学位）,2,667,5767
3105,华东师范大学,38,软件工程,18,667,5607
3165,同济大学,16,机械类(中外合作办学),3,667,5613
3206,东南大学,1,工科试验班（碳中和与智能制造实验班）,21,667,5565
3543,厦门大学,8,经济学类,13,667,5746
3543,厦门大学,14,数学类,3,667,5645
3731,山东大学,7,数学类,6,667,5509
4034,华中科技大学,2,物理学类,6,667,5546
4055,武汉大学,6,公共管理类,6,667,5673
4424,华南理工大学,17,软件工程（卓越班）,2,667,5618
4436,中山大学,3,经济学类,3,667,5737
4436,中山大学,11,数学类,4,667,5755
4436,中山大学,12,人工智能,6,667,5584
5150,电子科技大学(沙河校区),4,软件工程,2,667,5631
6127,西安交通大学,1,文科试验班类,3,667,5743
6127,西安交通大学,17,工科试验班（智能制造类）,17,667,5630
259,浙江大学医学院,5,预防医学,35,666,6080
1151,首都医科大学,4,临床医学,4,666,6110
1163,中国政法大学,15,政治学与行政学,2,666,5880
1203,南开大学,5,经济学类,8,666,5827
1203,南开大学,15,理科试验班（物理与光电信息技术工程）,8,666,6104
3105,华东师范大学,18,公共管理类,1,666,5965
3105,华东师范大学,19,人力资源管理（双学位）,2,666,6039
3105,华东师范大学,22,哲学,3,666,5964
3105,华东师范大学,25,社会学类,2,666,6053
3105,华东师范大学,36,微电子科学与工程,3,666,5872
3105,华东师范大学,37,计算机科学与技术,11,666,5941
3105,华东师范大学,44,地理信息科学（双学位）,2,666,5992
3106,华东政法大学,1,法学（民商法律）,14,666,5817
3109,上海财经大学,9,经济学（数量经济）,6,666,6031
3109,上海财经大学,23,投资学（双学士学位）,3,666,5821
3165,同济大学,4,工科试验班（智慧建造与低碳环境类）,8,666,5974
3206,东南大学,8,文科试验班类（郭秉文班）,8,666,6010
3543,厦门大学,4,外国语言文学类（加会计或财务）,3,666,5966
3543,厦门大学,19,计算机类,13,666,6085
4034,华中科技大学,6,能源动力类,11,666,6008
4034,华中科技大学,12,生物科学（创新实验班）,3,666,5946
4034,华中科技大学,29,预防医学（启明实验班）,2,666,6005
4055,武汉大学,10,化学类,4,666,6048
4055,武汉大学,11,生物科学类,3,666,5884
4424,华南理工大学,9,自动化类,2,666,5938
4436,中山大学,2,历史学,3,666,6102
4436,中山大学,14,电子信息工程,8,666,5847
4436,中山大学,15,计算机类,10,666,5995
5011,重庆大学,10,工科试验班（卓越工程师计划）,3,666,5806
5113,电子科技大学,11,电子信息类（光电集成与光网络）,11,666,6072
6127,西安交通大学,16,工科试验班（智慧能源类）,22,666,5899
6145,西北工业大学,1,航空航天类（智慧三航班）,8,666,5844
1,浙江大学,14,工科试验班（智慧城市与建筑工程）,171,665,6212
1130,北京师范大学,11,物理学类,5,665,6397
1140,北京邮电大学,6,软件工程,3,665,6340
1144,对外经济贸易大学,9,法学类,4,665,6345
1158,中国社会科学院大学,1,汉语言文学,1,665,6348
1165,中央财经大学,5,工商管理类（会计学院）,6,665,6198
1165,中央财经大学,16,经济学（数理经济与数理金融）,4,665,6224
1203,南开大学,1,历史学类,7,665,6173
1203,南开大学,7,临床医学（5+3一体化）,6,665,6176
1203,南开大学,8,口腔医学,3,665,6209
1203,南开大学,10,工商管理类（未来商业领导者计划）,7,665,6424
1203,南开大学,14,公共管理类（国家治理与社会发展卓越人才计划）,3,665,6446
1239,天津医科大学,1,临床医学（5+3一体化）,4,665,6266
3105,华东师范大学,15,金融学类,5,665,6374
3105,华东师范大学,16,工商管理类,2,665,6407
3105,华东师范大学,20,新闻传播学类,2,665,6251
3105,华东师范大学,31,统计学类,6,665,6203
3105,华东师范大学,35,通信工程,2,665,6219
3106,华东政法大学,3,法学（经济法）,10,665,6363
3106,华东政法大学,7,法学（刑事法律）,4,665,6272
3106,华东政法大学,8,法学（刑事司法）,2,665,6445
3106,华东政法大学,9,法学（网络与信息法）,2,665,6392
3106,华东政法大学,11,法学（涉外卓越国际金融法律人才实验班）,11,665,6131
3109,上海财经大学,13,投资学,2,665,6379
3109,上海财经大学,16,信息管理与信息系统,2,665,6217
3165,同济大学,2,经济管理试验班,9,665,6349
3206,东南大学,6,文科试验班类（数智经济与智能管理）,12,665,6444
3543,厦门大学,6,公共管理类,4,665,6141
3543,厦门大学,12,工商管理类,3,665,6301
3543,厦门大学,18,能源动力类,2,665,6410
3731,山东大学,2,中国语言文学类,2,665,6230
4034,华中科技大学,5,材料类,5,665,6378
4034,华中科技大学,23,数字经济（AI双学位）,4,665,6150
4095,中南财经政法大学,13,法学（拔尖人才实验班）,1,665,6316
4424,华南理工大学,1,机械类（创新班）,1,665,6241
4424,华南理工大学,2,工科试验班（智能装备与先进制造）,3,665,6372
4424,华南理工大学,7,电气类,2,665,6167
4424,华南理工大学,8,信息工程,2,665,6130
4424,华南理工大学,18,软件工程,2,665,6260
4424,华南理工大学,24,法学类,2,665,6323
4436,中山大学,6,工商管理类,8,665,6376
5113,电子科技大学,10,工科试验班（机器人、电气信息、智能制造）,12,665,6338
6127,西安交通大学,8,理科试验班(化学优本班),2,665,6127
1,浙江大学,21,工科试验班（海洋，含智慧海洋卓越班）,95,664,6625
1,浙江大学,22,应用生物科学（农学，含新农科实验班）,159,664,6791
1116,北京航空航天大学,13,社会科学试验班,6,664,6675
1130,北京师范大学,12,理科试验班,9,664,6650
1133,北京外国语大学,8,英语（中国政法大学联合培养涉外法治人才）,2,664,6674
1136,北京协和医学院,1,药学,3,664,6615
1144,对外经济贸易大学,3,国际经济与贸易（国际组织人才基地班）,2,664,6683
1146,华北电力大学(北京),1,电气工程及其自动化,12,664,6765
1158,中国社会科学院大学,3,历史学,1,664,6825
1158,中国社会科学院大学,8,法学,2,664,6648
1165,中央财经大学,1,财政学类,6,664,6781
1203,南开大学,2,哲学类,3,664,6518
1210,天津大学,4,工科试验班（精仪与光电信息类）,10,664,6824
1210,天津大学,5,工科试验班（电气信息类）,12,664,6629
1210,天津大学,6,工科试验班（智能与计算类）,10,664,6632
1210,天津大学,8,法学,12,664,6828
2111,大连理工大学,3,电子信息类（创新班）,3,664,6474
2220,吉林大学,48,临床医学（5+3一体化）,2,664,6484
2320,哈尔滨医科大学,2,临床医学（5+3一体化，于维汉班）,1,664,6482
3105,华东师范大学,17,工商管理（智能商业实验班）,2,664,6642
3105,华东师范大学,41,生物科学类,2,664,6509
3105,华东师范大学,42,地理科学,2,664,6743
3105,华东师范大学,43,地理信息科学,2,664,6528
3106,华东政法大学,5,法学（国际经济法）,10,664,6777
3106,华东政法大学,12,知识产权（卓越人才实验班）,5,664,6707
3109,上海财经大学,7,工商管理类,4,664,6814
3109,上海财经大学,8,国际经济与贸易,4,664,6575
3206,东南大学,2,工科试验班（智慧建造、智能交通与先进材料）,10,664,6691
3259,南京师范大学,6,中国语言文学类,3,664,6842
3543,厦门大学,3,外国语言文学类,5,664,6701
3731,山东大学,30,法学类,2,664,6643
4034,华中科技大学,22,工商管理类,4,664,6534
4034,华中科技大学,24,新闻传播学类,4,664,6766
4055,武汉大学,27,工科试验班（数智土木类试验班）,2,664,6833
4424,华南理工大学,3,建筑学,1,664,6718
4424,华南理工大学,12,数学类,2,664,6789
4424,华南理工大学,15,会计学,2,664,6714
4424,华南理工大学,27,大数据管理与应用,2,664,6521
4436,中山大学,5,公共管理类,4,664,6725
4436,中山大学,9,哲学,5,664,6821
4436,中山大学,16,网络空间安全,10,664,6456
4436,中山大学,17,物理学,5,664,6582
5031,重庆医科大学,2,临床医学（5+3一体化，硕士段培养方向儿科学）,1,664,6652
5120,四川大学,1,人文科学试验班（中文与新闻传播）,6,664,6572
5120,四川大学,4,数学类（含双学士学位）,4,664,6562
6127,西安交通大学,19,工科试验班（管理类）,3,664,6531
6145,西北工业大学,2,柔性电子学,5,664,6684
6145,西北工业大学,6,航空航天类（航天）,6,664,6639
6145,西北工业大学,17,计算机类,10,664,6476
1130,北京师范大学,6,戏剧影视文学,3,663,6981
1133,北京外国语大学,7,英语,3,663,7144
1140,北京邮电大学,8,人工智能（大类招生）,8,663,7189
1157,中国农业大学,1,理科试验班类（生命科学）,1,663,7158
1157,中国农业大学,23,法学,2,663,7184
1165,中央财经大学,2,金融学（金融学、金融学北京外国语大学英语专业联培）,3,663,7181
1165,中央财经大学,14,法学（卓越法治人才教育培养计划）,4,663,7180
1203,南开大学,12,理科试验班（物质科学与可持续发展）,8,663,6920
3105,华东师范大学,12,汉语国际教育,6,663,6892
3105,华东师范大学,26,教育学类(师范),6,663,6917
3106,华东政法大学,23,司法鉴定学,4,663,7160
3109,上海财经大学,20,统计学类,5,663,6924
3109,上海财经大学,21,数学类,3,663,7032
3270,南京医科大学,2,临床医学（5+3一体化，儿科学）,2,663,7065
3281,苏州大学,1,汉语言文学(师范),1,663,7091
3281,苏州大学,3,法学,2,663,6978
3281,苏州大学,7,临床医学,1,663,6855
3316,中国药科大学,1,药学（杰出药学家实验班）,1,663,6976
3543,厦门大学,7,金融工程,2,663,6851
3543,厦门大学,15,物理学类,3,663,6845
3543,厦门大学,16,化学类,2,663,7018
3543,厦门大学,17,工科试验班（化工与材料类）,2,663,7048
3543,厦门大学,20,工科试验班（航空航天）,8,663,7043
3543,厦门大学,22,理科试验班（生命科学与药学类）,3,663,6962
3731,山东大学,4,历史学类,2,663,7115
3731,山东大学,24,临床医学,4,663,7033
4034,华中科技大学,3,化学类,3,663,7061
4034,华中科技大学,10,生物科学类,5,663,6995
4034,华中科技大学,21,管理科学与工程类,5,663,6987
4034,华中科技大学,30,药学（启明实验班）,2,663,6945
4055,武汉大学,28,环境工程（卓越国际试验班）,2,663,7011
4095,中南财经政法大学,12,法学类,12,663,7175
4365,中南大学,5,法学类,7,663,7080
4365,中南大学,18,计算机类,12,663,7029
4365,中南大学,20,临床医学类（临床及口腔五年制医学类）,12,663,6926
4424,华南理工大学,4,工程力学（创新班）,1,663,6903
4424,华南理工大学,13,物理学类,2,663,6940
4424,华南理工大学,28,临床医学,2,663,6991
4436,中山大学,10,国际政治,4,663,6935
5011,重庆大学,3,汉语言文学（博雅类）,3,663,7188
5113,电子科技大学,13,金融学（互联网交叉复合型精英人才双学位培养计划）,3,663,7157
5120,四川大学,13,计算机类（含双学士学位）,15,663,7112
5120,四川大学,20,工商管理类,4,663,7025
5141,西南财经大学,6,金融学（智能金融与区块链金融）,2,663,7142
6145,西北工业大学,4,航空航天类（航空）,8,663,6965
6145,西北工业大学,8,海洋工程类（黄震中海洋班）,2,663,6944
